Product Name,Brand Name,Price,Quantity/Size,Shade/Color,Ingredients,Product Type,Usage Instructions,Expiration Date,Manufacturing Date,Country of Origin,Special Features,Certifications,Description,Image Path,Benefits,Skin Type Compatibility,Packaging,Product Images,Return Policy,Disclaimer
ENN Pout Lip & Cheek Tint,ENN,450,4 g,Passion Pink,"Candelilla Wax, Microcrystalline Wax, Carnauba Wax, Shea Butter, Hydrogenated Polyisobutene, C.C.T.G, Iso Octyl Palmitate, Isoamyl Laurate, Octyldodecanol, Pigment, Siltech Ce 2000, Vitamin E, Avocado Oil, Jojoba Oil, Mica, Perfume Oil, Cyclopentasiloxane.",Lip & Cheek Tint,,,,,"Designed to enhance the natural color of lips, versatile for creating customized shades and effects, perfect for everyday wear.",,"A versatile lip and cheek tint in passion pink, designed to enhance natural lip color and offer a fresh, ""no-makeup"" makeup look. Suitable for everyday wear.",Pout.JPG,"Enhances natural lip color, versatile application, suitable for everyday wear",All,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Swiss Beauty Liquid Concealer,Swiss Beauty,210,6 g,Medium Beige,"Water, Ci 77891, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Polyglyceryl-3 Diisostearate, Ci 77491, Ci 77492, Ci 77499, 1,2-Hexanediol, Hydrolyzed Collagen, Caprylyl Glycol, Phenoxyethanol, Ethylhexylglycerin, Parfum.",Liquid Concealer,,,,PRC,"Suitable for all skin tones, Liquid formulation, Matte finish, Neutral undertone",,"A liquid concealer in medium beige designed to conceal dark circles, blemishes, and redness, offering a matte finish and suitable for all skin tones.",SbLC.JPG,"Conceals imperfections, suitable for all skin tones, offers a matte finish",All,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Faces Canada Weightless Matte Finish Compact,Faces Canada,125,9 g,Beige 03,"Talc, Zinc Oxide, Titanium Dioxide Ci 77891, Zea Mays Starch, Mica Ci77019, Aluminium Starch Octenylsuccinate, Polyamide 12, Barium Sulphate, Dimethicone, Ethylhexylglycerin, Benzyl Alcohol (And) Dehydroacetic Acid, Butyrospermum Parkii (Shea) Butter, Tocopheryl Acetate, Perfume, Iron Oxides Ci77491, Ci77492, Ci77499.",Compact Powder,,,,,"Matte finish, Powder formulation, Medium coverage, Suitable for medium/wheatish skin tone",,"A weightless matte finish compact designed for medium/wheatish skin tone, offering medium coverage with a matte finish. It's formulated to provide a flawless look that lasts, control shine, and blur the appearance of pores and fine lines.",FC.JPG,"Provides a flawless matte finish, controls shine, blurs pores and fine lines",Medium/Wheatish,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
L.A. Girl Pro Coverage HD Foundation,L.A. Girl,1125,28 ml,Nude Beige,"Water (Aqua), Dimethicone, Cyclopentasiloxane, Aluminum Starch Octenylsuccinate, Glycerin, Methyl Methacrylate Crosspolymer, Silica, Peg-10 Dimethicone, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Disteardimonium Hectorite, Caprylyl Glycol, Alumina, Ethylhexyl Glycerin, Panthenol, Disodium Edta, Tocopheryl Acetate, Helianthus Annuus (Sunflower) Seed Oil, Trimethoxycaprylysilane, Triethoxycaprylylsilane, Talc, Parfum (Fragrance), Tocopherol. May Contain/Peut Contenir: Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).",Formulation,"Apply all over face using a brush or sponge.
Best results for all day wear: Prep skin with L.A. Girl Pro.prep Face Primer, apply Pro.coverage Foundation, apply L.A. Girl Pro Conceal concealer, set with L.A. Girl PRO. Face Pressed Powder, seal in makeup by evenly misting L.A. Girl PRO. Setting Spray.",36 months,,China,"Buildable, medium-to-full coverage foundation.
Dewy, radiant finish.
Formulated with vitamin E & vitamin C.
Hydrates and improves skin appearance.","Cruelty-Free,Paraben-Free,Vegan","A weightless matte finish compact designed for medium/wheatish skin tone, offering medium coverage with a matte finish. It's formulated to provide a flawless look that lasts, control shine, and blur the appearance of pores and fine lines.",LAGirls.JPG,"Provides a flawless matte finish, controls shine, blurs pores and fine lines",All,Bottle,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Mamaearth Glow Oil Control Compact ,Mamaearth,432,9 g,Ivory Glow,"Mica, Titanium Dioxide, Kaolin, Ethylhexyl Methoxycinnamate, Bis-Diglyceryl Polyacyladipate-2, Calcium Carbonate, Zinc Stearate, Zinc Oxide, Phenoxyethanol, Phenoxyethanol (And) Ethylhexylglycerin, Curcuma Longa (Turmeric) Root Extract, Tocopheryl Acetate, Perfume, Ascorbyl Tetraisopalmitate, May Contain- Ci 77891, Ci 77492, Ci 77491, Ci 77499.",,"Swipe the puff on the compact.
Gently dab it on all over your face.
Blend the product evenly.",36 months,,India,"It gives you a flawless matte base with 2X instant glow.
It also controls oil and stays for up to 12 hours.
It has perfectly buildable coverage that blends on your skin like a dream.
It covers blemishes and pores while evening out the skin tone.
The perfect blend of skincare & makeup.","Cruelty-Free,Toxin-Free,Paraben-Free","It gives you a flawless matte base with 2X instant glow.
It also controls oil and stays for up to 12 hours.
It has perfectly buildable coverage that blends on your skin like a dream.
It covers blemishes and pores while evening out the skin tone.
The perfect blend of skincare & makeup.",megoc.JPG,,Medium,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Insight Cosmetics Long Wear Color Rich Lip Gloss ,Insight,77,4 ml,Frost,Jojoba Oil,Liquid,"Swipe lip gloss across your lips like a lipstick, staying away from your lip line. Or dab a touch of gloss in the middle of your bottom lip and then rub your lips together.",36 months,,India,Waterproof,"Cruelty-Free,Vegan,Paraben-Free","Long-lasting, 8 hr wear.
Flawless matte finish‚Äã.
Intense colour payoff‚Äã.
Easy to apply‚Äã.
Smudge resistant.‚Äã
Built-in sharpener.",InLCP.jpg,Waterproof,All,Pack,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Earth Rhythm Lip & Cheek Tint,Earth Rhythm ,300,5 ml,Brandy,,Cream,,24 months,,India,,,"Intense matte colour that looks freshly applied for upto 16 hrs.
Deeply pigmented and long lasting colour that just doesn‚Äôt budge.
Lightweight texture that is very comfortable on lips.
Get the intense matte that glides on easily and stays fresh forever.
Forever Matte and Forever Fresh.",erLCT.jpg,,Natural,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
