Product Name,Brand Name,Price,Quantity/Size,Shade/Color,Ingredients,Product Type,Usage Instructions,Expiration Date,Manufacturing Date,Country of Origin,Special Features,Certifications,Description,Image Path,Benefits,Skin Type Compatibility,Packaging,Product Images,Return Policy,Disclaimer
Biotique Natural Makeup Magicliner Eyeliner,Biotique,89,9 ml,Midnight Black,,,"For marvellous intensity, shake well before use. Use the applicator gently with smooth-confident strokes. Create a style of your liking. Ranging from subtle to bold dramatic look.",36 months,,India,Lasts upto 8 hours. Skincare infused. Flawless smooth application.,Chemical Free. Cruelty Free,Truly weightless and smooth.,bml.jpg,Lengthening,,Bottle,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Swiss Beauty Ultimate Eye Shadow Palette,Swiss Beauty,285,6 g,Shade-4,"Mica,Talc,Magnesium Stearate,Paraffinum Liquidum(Mineral Oil,Huile Minerale),Ethylhexyl palmitate,Dimethicone,Polybutene,Aluminum Starch Octenylsuccinate,Polyethylene, Methylparaben,Propylparaben,Tin oxide,CI 77891(Titanium Dioxide),CI 77491(Iron Oxides),CI 77492(Iron Oxides),CI 77499(Iron Oxides),CI 15850(Red 6),CI 15850(Red 7), CI 19140(Yellow 5),CI 15985(Yellow 6),CI 75470(Carmine),CI 16035(Red 40).",Powder,"Blend the shadows seamlessly together, using darker shades in the crease, and lighter hues along the brow bone and inner corners of the eye.
Using a smudge or liner brush, apply one of the darker shades along the top and bottom lash line.
With your ring finger, or by using a setting spray on an eyeshadow brush, apply the shimmer shade to the center of your eyelid to amp up the glamour.",47 months,,PRC,"Create stunning eye looks using the Swiss Beauty Eyeshadow kit.
An ultimate palette featuring 9 expertly coordinated colour combination.
Ranging from every day natrurals to vibrant color pop shades.
Each set features a vivid mix of velvety-rich textures and mesmerising finishes.
Shades range from mattes and satins to shimmers and metallics.","Vegan, Cruelty free","Blend the shadows seamlessly together, using darker shades in the crease, and lighter hues along the brow bone and inner corners of the eye.
Using a smudge or liner brush, apply one of the darker shades along the top and bottom lash line.
With your ring finger, or by using a setting spray on an eyeshadow brush, apply the shimmer shade to the center of your eyelid to amp up the glamour.",sbu.JPG,Lengthening,,Pack,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Swiss Beauty Long Lasting Natural Make-Up Fixer,Swiss Beauty,244,70 ml,,"Fixing Glue, Vitamin E, Propylene, Glycol, Aloe, Fragrance, Purified Water, Methylparaben",Make-Up Fixer,,,,,"Extends makeup wear time, prevents smudging, creasing, or fading, creates a natural and airbrushed finish.",,"A makeup fixer designed to extend the wear time of makeup, prevent smudging, creasing, or fading, and create a more natural, airbrushed finish.",sbmfn.JPG,"Makeup longevity, smoother finish, seals beauty",,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
SUGAR POP Matte Eyeliner,SUGAR POP,Currently Out of Stock,4.5 ml,Black,,Eyeliner,,,,,"Matte finish, Liquid formulation, Monochrome color family",,"A matte eyeliner designed to enhance the eyes, offering a matte finish with a liquid formulation in a monochrome color family. It aims to balance the symmetry of the eyes, making them appear larger and more expressive.",sp.JPG,"Enhances eyes, makes them appear larger and more expressive",,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Insight Cosmetics Pro Concealer Palette,Insight Cosmetics,159,15 g,,,Concealer Palette,Apply on desired areas with a concealer brush or fingertips to blend. Allow a few minutes to dry completely.,,,,"Suitable for all skin tones, Cream formulation, Natural finish, Neutral undertone",Cruelty-Free,"Designed for versatile use, this concealer palette offers a natural finish with a cream formulation, suitable for all skin tones and providing coverage for dark circles, blemishes, and redness.",ipcp.JPG,"Versatile coverage, suitable for all skin tones",All,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
MARS Cosmetics Fabulash Mascara,MARS Cosmetics,195,12 ml,Black,,Mascara,,,,,Curling effect,Cruelty-Free,"A black mascara designed to curl and add volume to the lashes, featuring a cruelty-free formulation. It aims to add depth and drama to the eyes, making them stand out for special occasions.",Mm.JPG,"Adds depth and drama, lifts the eyes",,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Swiss Beauty Drop & Glow Liquid Highlighter,Swiss Beauty,374,18 ml,Light Pink,"Isododecane, Mica, Cyclopentasiloxane, Polybutene, Isohexadecane, Ethylene/Propylene/Styrene Copolymer, Caprylyl Dimethicone Ethoxy Glucoside, Silica Dimethyl Silylate, Disteardimonium Hectorite, Propylene Carbonate, Propylparaben, BHT, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides).",Liquid Highlighter,,,,PRC,"Natural finish, Liquid formulation, Pink color family",,"A liquid highlighter in light pink to brighten and awaken the face, adding a final touch of color, dimension, and glow to complete the makeup look. It's versatile for enhancing natural features.",SBdg.JPG,"Brightens and awakens the face, completes the makeup look, versatile makeup tool",,,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
